boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
9,12,19,40,49,9
3,16,20,42,43,6
16,19,25,26,28,5
3,17,20,25,46,3
15,27,32,40,42,7
6,13,18,37,48,7
18,20,23,46,49,8
26,30,35,41,46,6
9,11,14,24,43,3
17,19,27,28,29,2
6,8,31,36,42,2
5,9,20,29,42,2
3,29,30,32,40,4
1,4,5,9,10,8
1,19,35,44,47,7
5,22,25,36,40,1
6,11,13,15,17,7
4,6,11,20,38,8
9,13,26,31,40,7
2,15,16,17,39,1
16,19,27,37,39,1
3,18,21,36,46,10
3,4,21,32,35,8
15,19,22,29,47,2
1,18,40,41,46,1
15,21,31,32,47,4
4,8,9,16,36,8
6,25,36,38,48,7
3,6,18,41,45,5
1,26,31,32,39,3
22,29,34,38,47,7
2,25,31,32,41,7
1,6,7,26,46,6
1,16,17,25,45,7
2,13,16,21,49,1
5,15,17,33,44,7
4,13,19,24,34,10
6,7,36,37,40,6
5,9,25,32,47,8
4,30,31,32,46,2
2,9,12,44,46,9
1,10,12,17,23,5
2,11,28,33,45,4
2,16,30,36,46,8
12,21,29,31,44,2
5,6,11,20,48,7
5,24,31,37,39,5
2,16,17,26,28,1
4,12,21,37,41,5
13,15,31,35,46,8
5,15,18,34,45,2
5,15,20,35,44,1
5,7,8,16,37,10
17,27,38,48,49,2
3,35,37,43,47,8
9,11,22,26,46,8
7,11,13,32,38,4
8,24,29,33,39,3
7,13,16,25,31,10
1,7,12,42,45,3
8,18,27,30,34,3
7,15,16,34,39,2
1,5,19,27,46,3
18,32,36,47,48,2
9,11,35,45,46,1
12,19,37,38,46,8
12,20,23,29,46,4
6,15,19,37,47,2
9,11,24,30,33,1
8,10,29,30,32,8
5,7,24,28,49,4
11,24,29,30,33,5
19,23,25,46,47,5
2,9,10,21,31,9
11,23,24,25,32,2
13,23,33,37,42,10
2,3,16,24,44,4
7,27,29,42,43,6
9,32,43,44,46,9
11,15,19,24,32,2
5,20,30,33,41,2
18,22,34,36,42,3
1,33,34,35,47,10
6,17,24,28,31,6
1,26,35,39,43,8
1,17,25,31,32,1
9,23,30,33,37,10
2,9,26,45,47,10
2,17,31,35,39,9
5,16,17,37,42,1
5,8,26,40,48,10
13,15,21,23,47,10
11,13,15,20,36,10
22,28,33,40,43,7
8,29,37,46,48,2
2,11,15,20,29,4
2,6,7,28,34,1
6,7,8,26,40,9
7,10,41,42,43,8
1,15,19,23,24,2
8,28,40,41,47,2
14,33,35,36,48,3
16,27,36,38,47,1
12,15,32,36,48,7
17,27,32,36,41,6
2,18,26,30,33,9
2,4,40,45,46,10
13,16,22,29,47,7
8,14,24,32,39,1
8,15,19,25,44,4
20,25,29,34,46,2
13,33,35,40,48,10
1,6,7,40,43,4
3,17,19,44,46,10
6,16,28,29,33,1
8,32,34,36,43,9
15,20,24,35,40,1
8,25,36,37,47,8
5,7,19,20,25,6
9,11,17,39,40,2
3,16,19,22,34,1
10,16,20,29,48,1
1,13,16,19,25,1
16,17,30,38,45,3
2,9,30,34,47,4
2,12,27,41,46,8
18,21,28,41,45,1
2,19,20,28,38,6
3,8,27,48,49,4
14,23,39,44,45,8
3,10,16,35,42,6
6,15,24,28,33,4
11,24,25,26,30,10
1,11,29,30,48,10
2,10,11,33,47,10
22,23,24,31,40,10
2,8,20,36,38,7
10,13,19,39,43,5
3,5,7,22,40,7
3,6,12,40,43,6
7,33,34,44,49,10
11,20,31,41,42,9
16,19,21,32,37,9
7,10,21,29,47,9
10,14,27,33,35,9
13,16,17,37,45,7
9,11,16,37,42,2
4,10,18,20,45,9
21,27,33,40,44,1
2,3,9,24,49,4
1,14,26,28,49,7
22,25,28,44,49,7
1,5,7,25,26,3
10,21,36,40,46,9
25,26,28,31,45,9
9,10,16,29,41,6
19,20,28,30,47,8
2,19,28,39,45,2
17,19,33,39,41,5
18,21,32,41,47,5
4,11,22,27,43,7
8,13,27,36,48,10
6,22,28,41,48,10
3,12,22,36,48,3
10,34,36,47,48,4
8,16,19,20,45,4
3,8,18,28,34,3
20,27,37,38,48,3
6,10,14,23,31,2
6,10,20,42,47,2
14,20,27,35,43,10
1,3,6,10,44,8
7,11,18,31,44,5
9,18,24,28,48,4
5,8,20,27,28,3
4,5,24,34,43,3
7,34,37,43,49,9
22,31,32,35,36,10
3,16,22,44,46,4
19,20,33,35,48,6
7,14,16,38,47,7
13,24,27,29,38,4
6,7,26,32,44,5
11,13,18,25,47,1
12,22,25,28,49,5
4,11,13,23,28,10
16,29,32,37,44,8
7,17,18,30,42,10
2,4,11,19,47,5
14,17,24,46,49,10
9,11,22,24,29,2
12,17,29,34,49,1
2,12,33,34,44,5
16,19,24,32,35,9
9,14,16,30,42,10
3,4,16,23,31,7
26,33,36,39,48,2
5,16,20,32,46,10
6,13,23,31,34,2
2,4,15,23,29,4
2,13,21,30,44,8
5,8,16,26,29,9
3,8,13,35,36,9
6,15,25,27,48,4
8,10,14,19,44,2
7,22,26,35,44,8
6,22,28,32,46,5
12,16,21,25,34,2
7,30,32,34,35,2
2,9,16,47,49,6
4,10,16,19,37,5
16,24,29,33,45,7
1,12,15,19,23,6
14,22,25,29,33,8
4,31,33,36,37,1
19,21,27,32,41,3
10,19,20,23,43,4
6,13,18,29,34,7
24,27,28,40,42,9
1,10,20,24,49,6
3,4,5,13,22,2
3,25,28,40,45,9
29,30,36,41,45,7
4,19,24,40,47,3
11,13,28,36,38,2
1,5,13,16,34,5
14,23,28,35,42,5
14,16,27,37,40,5
9,13,19,33,39,10
6,8,19,27,39,9
13,17,22,28,49,6
12,18,44,45,48,8
18,19,25,42,48,4
13,19,20,26,42,9
6,9,11,47,48,9
6,14,26,41,44,3
14,17,21,37,41,6
7,13,15,24,38,10
7,17,22,23,38,5
4,12,20,24,47,8
9,13,35,39,41,8
14,17,23,41,42,4
24,27,30,36,37,6
12,18,41,42,45,7
5,10,14,26,30,4
1,11,30,31,49,3
17,30,31,37,41,10
3,12,13,23,34,10
4,16,26,33,48,2
4,7,11,38,44,5
1,4,6,12,42,7
16,22,24,26,47,9
24,37,44,46,48,5
6,21,30,35,47,6
1,26,39,43,49,5
1,3,26,31,35,4
9,18,35,39,41,7
17,23,28,38,44,8
19,30,32,41,45,1
20,28,38,41,47,5
1,20,24,33,46,7
2,3,7,19,45,9
25,26,41,43,49,7
9,13,14,29,35,10
11,12,23,24,47,2
1,3,17,18,19,7
5,8,13,15,43,4
2,10,29,30,31,5
1,8,17,24,42,1
19,20,26,34,43,10
5,9,21,33,36,8
29,35,40,45,49,2
23,33,34,40,49,1
6,7,24,35,46,3
23,24,26,44,49,7
11,17,24,30,37,7
9,20,24,41,42,7
6,25,33,41,48,1
20,27,39,45,46,2
10,11,26,42,46,10
1,7,43,47,48,1
5,14,15,38,43,10
5,16,37,39,48,10
8,17,22,36,38,1
14,18,19,39,48,3
2,12,18,25,36,1
1,2,14,23,25,10
3,4,23,32,41,5
1,21,24,25,34,9
2,8,18,31,44,4
5,6,24,33,44,6
8,12,16,24,33,7
6,7,12,35,36,4
11,15,32,37,49,3
1,4,10,26,33,10
1,4,10,21,25,9
3,20,28,44,46,2
13,31,34,42,43,3
18,19,25,43,47,3
28,34,36,38,41,2
11,16,32,40,41,2
8,10,16,26,35,2
2,21,29,38,44,1
10,14,23,28,31,5
15,24,36,45,47,6
5,12,17,22,23,6
21,25,28,33,41,10
4,5,19,43,48,2
3,23,37,43,44,9
24,34,35,46,47,4
22,29,30,42,45,8
9,13,19,45,48,3
4,9,21,31,33,3
10,12,22,25,36,1
4,5,8,33,38,2
7,12,15,23,38,4
3,13,32,37,44,8
6,14,38,41,42,9
3,10,25,37,44,9
8,13,14,30,46,1
2,4,19,31,45,9
11,18,22,35,43,2
16,23,37,41,45,3
9,26,30,31,38,9
1,23,30,32,47,6
7,22,31,37,44,10
6,12,24,26,36,8
17,30,46,47,49,5
1,4,16,18,49,5
13,37,42,43,44,5
3,5,6,14,24,7
9,19,29,31,38,2
1,8,11,36,44,7
8,9,24,31,39,10
5,13,18,43,49,6
13,29,32,44,45,4
3,6,19,27,45,7
4,13,24,27,29,1
30,33,46,48,49,4
7,23,27,32,39,10
20,25,29,42,48,2
12,18,19,24,42,3
10,13,30,31,40,2
2,3,13,23,49,7
8,13,20,31,35,9
13,18,27,30,40,10
2,22,43,45,47,7
3,35,39,43,44,4
14,19,39,43,44,7
5,24,27,30,45,5
1,19,20,44,45,6
2,9,11,12,24,8
8,13,15,29,41,10
10,18,24,28,38,10
15,24,36,41,49,7
3,18,27,39,44,6
1,2,19,25,26,10
4,5,17,30,37,7
3,8,24,33,38,10
20,25,33,42,45,5
21,22,27,29,32,10
14,30,36,39,40,9
2,8,19,21,30,7
7,24,33,34,36,3
21,22,27,28,29,6
5,14,16,22,23,5
7,12,20,22,37,4
7,16,27,30,43,4
13,25,30,33,49,3
3,25,30,35,47,6
3,4,12,32,36,2
27,29,32,42,46,3
5,26,29,30,34,8
4,7,15,18,42,5
7,17,20,36,44,1
10,17,19,46,48,2
3,15,45,47,48,5
17,22,41,46,49,10
8,16,19,22,32,1
4,28,35,36,37,3
12,19,39,42,48,9
5,15,26,29,44,4
5,32,35,40,44,8
2,13,14,20,41,9
1,6,25,28,45,10
13,14,24,31,42,2
6,7,11,23,37,8
11,14,23,32,44,6
8,16,29,33,40,9
2,8,16,22,44,8
5,16,21,26,43,4
20,21,28,31,33,9
3,18,37,43,45,10
7,11,29,41,43,4
7,11,34,39,42,5
15,19,30,38,43,5
7,9,13,31,42,7
4,20,25,27,37,8
1,8,24,31,32,10
22,33,35,36,43,1
13,20,30,41,45,1
4,6,30,32,45,8
15,27,30,31,46,8
6,12,15,23,35,1
2,14,25,26,41,9
8,15,17,27,36,4
3,20,24,29,49,6
1,7,14,33,39,5
3,15,17,41,49,6
21,32,33,39,48,4
3,22,30,34,37,4
11,14,42,43,46,8
15,20,30,31,42,5
10,35,38,39,41,8
9,19,32,36,38,6
1,10,19,21,23,8
4,5,13,33,38,6
12,19,25,40,42,2
11,13,26,30,43,3
3,23,24,39,40,3
9,24,27,28,49,10
17,33,34,45,48,6
1,16,23,41,46,9
19,25,39,44,47,9
8,10,13,33,45,10
16,27,33,41,47,9
3,13,23,24,47,4
5,6,11,20,29,6
9,12,24,27,43,10
14,29,35,40,41,10
3,13,39,42,44,3
9,12,14,28,41,3
1,12,13,44,48,2
7,23,26,34,42,1
22,34,35,36,43,9
11,22,24,25,38,10
17,23,27,46,49,3
3,11,13,21,41,1
15,16,32,44,48,1
18,25,28,40,43,5
15,17,40,45,48,2
5,11,22,28,33,7
7,21,28,36,44,4
15,25,27,40,49,8
1,4,9,12,42,4
12,19,20,39,44,9
9,22,25,46,48,3
17,18,23,25,34,7
10,12,15,33,39,9
3,28,32,38,43,9
24,29,33,45,49,8
1,11,13,20,21,6
4,9,20,23,38,2
10,34,37,42,49,2
7,9,11,32,44,4
7,11,22,30,39,7
2,4,23,34,39,4
3,4,14,21,36,3
13,15,20,26,30,10
7,13,21,42,47,10
14,16,26,27,32,2
2,30,31,41,42,3
16,17,18,45,48,6
5,24,39,44,45,10
10,13,25,37,49,9
3,30,44,48,49,9
9,15,21,23,25,5
6,12,22,32,48,6
3,10,20,36,37,10
1,2,7,8,17,1
1,23,30,34,49,1
5,18,39,40,44,2
1,6,28,34,46,2
8,10,21,25,43,2
5,9,17,38,49,9
8,9,29,39,44,1
9,25,36,37,49,6
4,26,28,44,45,1
1,7,8,31,47,10
3,11,19,28,48,6
1,11,27,32,49,9
14,27,30,31,43,7
5,12,23,34,44,1
10,16,24,30,46,8
7,15,18,23,30,8
4,25,31,36,44,9
6,9,22,39,48,6
12,27,31,35,37,9
7,22,30,32,42,3
12,35,36,45,47,6
12,23,35,37,42,9
10,32,34,37,44,10
4,38,45,46,48,3
9,11,17,21,29,4
3,8,12,20,28,3
1,12,22,31,36,1
11,34,36,39,47,10
2,8,31,33,46,6
2,4,39,45,47,6
10,13,14,23,47,6
3,9,12,19,45,7
1,4,5,9,35,6
1,13,33,35,37,6
4,21,33,34,48,7
3,11,17,27,49,4
4,11,25,33,35,1
20,28,29,36,46,1
11,16,18,23,40,6
8,14,16,17,32,7
31,34,38,41,44,8
25,37,38,41,46,4
1,3,7,33,40,8
13,16,19,35,48,2
3,18,20,29,39,5
2,23,24,35,38,1
7,29,36,38,43,5
1,4,43,45,47,10
7,21,29,30,36,4
19,28,32,40,42,3
1,18,28,29,41,3
3,9,12,30,33,2
3,5,9,43,44,8
5,8,14,16,49,9
4,6,8,13,16,10
6,13,18,24,29,8
4,5,6,15,35,7
13,16,27,28,36,9
12,23,32,36,48,10
7,18,39,43,45,2
6,11,18,19,30,7
4,6,31,35,49,5
11,27,28,29,48,8
10,24,36,39,41,7
18,34,37,44,49,10
4,5,20,25,40,4
7,8,18,37,49,8
8,9,15,29,38,10
10,26,32,36,41,10
7,17,19,24,27,9
6,21,28,31,47,4
2,9,12,25,46,6
3,13,17,21,23,5
21,27,38,39,43,5
5,16,35,42,49,9
5,14,30,46,47,10
8,12,29,36,39,2
5,6,11,28,49,5
1,9,14,26,37,5
7,22,32,38,40,1
10,23,25,34,44,9
6,16,25,37,46,8
10,11,31,32,39,10
5,16,27,32,41,1
1,7,44,45,49,5
8,18,35,40,46,7
8,11,22,31,38,9
13,14,19,28,43,5
4,25,27,41,45,5
8,13,15,40,46,9
6,7,9,23,41,6
1,17,20,41,46,6
2,26,28,31,43,7
6,13,20,38,47,4
4,6,13,20,22,1
1,3,14,30,47,1
10,15,17,41,47,3
9,14,33,41,48,10
1,3,13,22,33,4
4,17,19,29,38,1
3,9,18,25,48,4
4,5,12,16,37,8
2,8,18,46,49,7
9,11,38,43,47,9
14,16,18,39,41,9
3,27,36,43,46,10
11,16,20,24,33,9
5,6,9,21,24,1
4,18,34,35,48,3
20,31,35,40,49,5
3,21,29,36,49,9
5,7,8,11,33,5
4,6,10,19,47,2
6,10,19,32,35,1
35,36,37,40,49,1
10,18,24,29,30,4
6,16,19,20,34,6
2,4,7,23,36,3
23,34,39,47,48,8
5,28,35,41,47,2
1,9,14,16,37,5
16,18,27,32,39,2
16,19,24,43,44,5
20,27,40,42,48,2
11,14,15,32,38,9
22,23,28,33,37,5
17,19,24,26,35,9
6,8,9,22,27,7
8,10,19,29,46,7
10,31,42,45,48,2
12,19,21,35,43,2
2,15,28,39,40,3
6,8,41,46,47,7
4,9,10,18,26,3
24,26,31,32,47,3
5,13,14,45,48,10
4,19,27,31,43,4
17,33,36,43,49,3
17,21,30,32,36,2
4,5,29,35,42,5
3,32,33,39,49,1
8,11,15,38,45,6
7,16,38,41,42,7
15,25,28,42,44,3
8,20,34,44,46,6
5,9,18,26,32,9
9,16,28,39,43,8
11,26,29,30,44,7
10,26,31,41,44,9
9,36,42,43,49,5
17,22,23,32,45,3
11,29,32,40,43,4
28,29,30,35,47,1
1,11,37,39,48,2
12,23,26,28,39,4
12,16,17,29,31,3
1,9,12,15,22,8
4,17,24,34,43,7
3,5,14,20,44,8
1,2,5,19,39,6
6,8,22,27,33,6
18,21,34,37,48,8
14,18,19,29,41,7
12,16,20,34,49,4
5,9,24,30,31,7
15,34,36,44,46,5
14,15,20,36,48,5
1,19,23,28,39,1
19,24,25,33,41,2
5,10,16,43,45,4
15,25,31,35,49,2
1,2,13,33,38,1
19,22,23,40,41,5
15,19,40,44,47,6
4,8,21,40,41,7
3,5,33,36,45,9
3,12,22,37,49,6
7,24,36,43,47,4
5,7,26,32,46,2
24,25,35,39,43,8
27,32,36,37,44,9
9,26,31,37,47,4
11,19,21,24,48,8
13,17,20,27,33,10
2,11,30,35,46,7
1,20,40,45,49,3
7,16,24,36,47,10
7,11,18,21,42,4
5,7,32,34,42,1
1,7,16,20,39,9
3,9,26,34,43,3
27,29,32,33,49,7
19,26,29,30,45,6
11,14,33,36,41,8
3,7,18,48,49,6
13,14,18,43,44,9
12,15,20,24,49,7
24,27,42,43,49,9
3,12,17,18,19,4
13,23,24,38,48,9
1,16,19,36,44,6
4,10,14,38,39,7
5,22,35,38,39,5
16,28,35,38,43,1
2,5,12,19,29,2
3,5,35,36,40,8
4,14,25,34,40,9
6,12,28,45,48,3
1,28,32,34,36,10
3,10,23,39,47,1
5,19,39,44,48,7
11,14,29,30,39,2
1,4,6,17,29,4
1,21,33,38,49,5
10,12,26,36,41,6
15,36,38,42,46,4
3,11,28,31,44,7
12,24,33,37,42,4
19,25,30,38,40,2
2,4,17,27,44,1
1,4,32,43,45,7
27,29,31,44,47,5
6,10,11,28,36,8
7,22,29,37,46,10
18,22,28,43,46,4
6,7,9,33,47,4
13,36,40,46,48,9
9,12,18,25,37,8
15,22,32,37,45,1
7,8,15,40,44,5
9,12,35,36,43,10
4,6,29,31,45,1
2,4,5,28,49,9
3,6,20,36,41,2
3,8,15,35,44,9
3,13,14,22,33,3
6,15,18,24,29,8
5,15,17,42,44,3
13,25,26,39,40,5
5,21,29,40,44,10
17,22,27,42,44,6
10,18,42,44,45,8
12,23,27,32,44,9
4,5,35,40,48,2
1,12,14,22,49,2
6,23,28,36,44,9
1,6,31,40,49,6
6,8,12,36,44,9
9,15,40,48,49,8
3,5,16,42,44,8
2,5,8,24,48,8
24,29,30,36,44,2
5,12,14,40,45,9
4,24,25,39,40,3
5,11,25,27,32,4
4,14,41,45,47,8
10,33,35,40,43,4
3,13,31,40,42,3
20,22,36,37,40,7
13,15,30,39,41,9
2,25,42,44,49,1
16,18,32,44,45,5
4,9,13,28,49,3
28,35,41,44,48,10
28,14,37,32,4,4
33,31,16,46,20,5
3,37,16,17,47,5
40,32,43,11,48,2
17,25,22,35,43,10
20,29,43,41,15,10
32,23,49,1,3,4
8,16,21,14,24,10
5,16,39,44,18,3
37,17,29,15,1,3
17,33,37,40,19,6
19,31,33,40,30,2
32,22,1,35,37,7
45,24,17,46,9,7
4,22,40,23,32,4
6,5,10,2,26,5
10,19,20,28,4,2
15,5,17,49,31,9
40,36,32,8,31,6
48,29,34,5,47,4
35,32,14,37,26,5
19,18,44,37,16,1
30,13,28,22,19,3
21,16,6,42,2,7
33,46,24,21,22,8
17,36,16,26,38,7
31,38,11,19,40,5
45,49,43,33,4,8
34,35,16,39,15,4
3,16,27,29,37,6
22,48,7,20,35,1
25,42,17,39,22,6
17,40,41,26,3,7
13,5,16,32,2,5
10,9,44,14,46,7
12,14,11,6,36,6
41,43,27,24,28,9
5,44,7,2,45,3
29,30,23,6,26,4
11,13,38,4,44,7
9,33,31,3,40,5
41,45,20,10,38,6
9,21,44,6,11,7
47,7,25,2,12,7
7,18,12,45,3,8
34,48,41,46,36,7
37,48,1,26,24,7
41,6,14,16,26,2
29,11,19,16,2,8
3,22,47,14,8,5
1,46,21,6,31,6
16,42,21,6,34,5
26,1,49,7,14,10
11,35,16,29,41,4
21,36,44,26,14,4
1,46,20,40,35,10
18,29,36,17,23,7
29,41,3,43,35,8
32,28,29,26,38,1
8,31,48,39,22,4
47,30,41,32,39,7
2,19,34,47,23,2
18,19,3,48,9,2
5,26,28,46,35,9
18,28,15,2,43,3
46,43,7,22,8,10
13,42,8,16,23,1
44,46,29,42,45,3
4,23,26,19,27,7
33,32,31,41,43,10
30,15,40,13,20,10
41,37,20,18,45,10
12,3,4,34,25,2
29,18,37,7,47,7
6,5,11,13,22,10
46,38,29,31,19,6
26,34,38,13,42,9
43,48,7,42,30,4
36,24,45,49,47,5
12,26,19,47,10,1
44,36,49,25,48,2
45,21,2,31,23,8
3,4,34,41,42,2
21,44,42,12,34,7
35,10,28,43,15,9
12,21,35,24,40,4
16,31,25,27,26,7
33,1,9,6,46,6
49,30,19,17,7,3
1,26,2,36,3,7
44,12,7,25,31,10
18,27,39,44,24,3
45,29,36,42,24,7
30,9,22,46,23,9
34,7,44,19,8,6
3,29,46,5,1,4
2,27,33,21,15,10
32,1,13,29,46,1
29,25,2,39,20,7
45,21,46,48,11,4
30,28,47,34,7,10
36,35,2,25,27,4
46,15,6,39,3,10
26,38,47,13,16,8
12,10,25,22,47,1
8,24,31,17,16,5
17,22,9,14,48,10
22,23,8,41,24,7
16,20,19,35,49,3
4,27,10,36,5,9
38,4,45,13,43,10
18,33,10,20,39,3
34,2,8,5,33,10
28,36,5,21,8,8
7,17,22,46,44,6
45,6,8,49,33,9
23,32,48,47,25,5
39,2,16,19,25,1
27,35,26,44,22,10
6,38,7,13,40,3
19,3,1,14,13,6
20,12,36,21,4,3
41,48,22,26,7,2
41,26,23,12,48,4
22,1,40,38,49,9
36,38,31,6,16,1
42,28,30,1,27,5
31,44,29,19,15,10
24,29,4,11,14,1
35,33,42,20,14,4
15,7,42,8,24,9
47,36,43,48,26,6
49,29,2,30,36,7
9,36,25,45,44,10
39,19,13,18,22,6
26,15,22,2,17,7
12,15,36,41,13,9
47,29,24,38,26,7
33,25,36,39,40,9
31,49,34,2,4,4
34,29,4,26,25,2
42,49,39,14,16,6
21,19,28,24,44,5
36,7,48,11,8,3
29,34,18,22,19,1
43,20,46,35,23,6
26,2,28,4,15,2
14,3,20,17,1,1
14,19,17,8,5,9
3,34,42,37,10,2
49,13,4,36,18,5
43,18,11,7,9,10
19,39,27,14,36,8
27,17,9,25,46,6
40,22,20,19,41,2
11,6,49,41,12,1
34,5,14,49,23,6
40,48,44,20,34,2
13,3,1,24,45,1
11,47,13,10,28,6
20,18,44,1,49,7
23,2,5,48,26,5
9,33,34,41,20,8
29,17,40,34,2,10
37,21,38,4,10,5
38,30,27,41,10,4
44,46,1,27,48,10
30,1,28,39,11,6
44,25,2,41,28,9
5,44,24,28,25,3
18,36,13,40,48,4
1,3,31,11,49,1
31,44,48,37,32,9
12,4,38,10,41,3
42,3,15,41,33,3
34,21,9,42,31,8
2,5,3,10,1,4
17,45,26,27,13,6
30,11,35,33,3,2
41,29,19,43,14,9
22,39,4,49,45,6
49,22,14,5,2,4
34,43,23,15,40,3
19,44,37,46,10,10
16,2,34,25,1,5
10,12,7,20,45,7
15,21,20,38,43,1
13,17,28,46,42,2
11,19,33,41,7,3
4,25,42,39,38,7
46,41,24,35,22,10
31,49,7,20,11,7
13,40,2,34,15,8
6,34,12,49,10,7
22,28,42,37,14,10
9,26,47,20,27,7
39,9,3,45,10,7
27,19,5,35,40,9
30,19,37,12,46,9
24,18,22,41,7,3
47,12,14,37,20,6
43,24,12,18,16,10
25,23,5,1,47,1
28,47,40,12,42,1
34,29,47,10,37,10
17,1,6,13,15,2
25,32,8,37,39,10
7,32,4,23,28,1
32,11,8,21,15,6
21,32,8,48,7,4
33,36,48,43,34,10
49,2,17,30,5,2
17,19,23,4,49,3
7,12,39,29,11,2
25,35,22,26,31,6
36,33,31,48,47,7
22,33,14,46,9,8
38,20,33,6,35,2
1,16,49,3,4,4
41,23,15,30,45,7
29,27,2,14,28,9
27,28,13,31,42,6
27,18,8,37,20,4
16,18,15,35,26,7
23,39,37,36,49,8
14,13,4,24,21,1
35,49,18,20,31,3
42,47,28,27,12,5
2,25,43,16,33,9
7,34,42,11,17,6
3,43,48,37,49,2
41,1,30,38,31,10
3,19,10,44,41,7
5,19,21,32,29,3
24,45,14,25,42,9
29,6,9,17,28,2
12,41,38,1,31,4
43,40,2,38,23,8
44,26,41,15,37,8
6,5,17,42,30,1
19,4,20,29,49,9
21,6,45,34,38,4
29,9,26,36,42,1
49,13,6,25,47,4
15,43,1,24,8,2
37,44,14,12,28,5
12,8,11,35,33,9
34,10,22,36,9,4
48,10,49,1,39,1
9,31,24,34,23,9
22,2,3,42,36,9
14,28,37,41,6,5
43,7,5,10,13,4
36,30,33,31,24,1
31,17,2,24,29,1
45,41,37,35,18,3
46,2,30,43,14,8
22,39,31,37,29,8
14,26,4,23,36,1
5,39,32,42,20,7
17,12,36,35,43,3
4,49,38,29,40,3
49,5,19,18,38,10
14,16,2,12,42,7
47,14,42,40,29,4
29,49,38,25,41,2
35,43,37,24,38,2
32,8,3,13,37,4
44,30,26,48,41,1
35,19,37,22,16,2
16,11,29,15,46,4
12,46,40,8,19,8
41,3,8,9,44,10
4,24,29,47,30,3
12,18,30,25,47,2
3,38,4,49,12,2
43,6,30,47,45,5
22,32,42,8,29,3
44,35,49,15,29,3
45,41,12,26,19,7
12,10,22,37,41,10
38,41,39,2,10,5
39,8,22,46,23,3
45,22,37,15,6,5
49,1,34,28,31,4
4,46,8,29,40,3
35,32,29,7,34,10
14,30,48,8,49,1
46,33,30,19,3,5
42,20,2,35,49,3
15,28,43,41,5,4
30,20,29,10,27,6
10,43,21,25,45,5
10,37,28,15,2,2
44,1,49,38,20,3
43,6,10,30,39,5
41,9,43,48,36,2
45,41,5,17,33,9
15,36,38,30,2,2
31,16,33,17,1,3
33,15,23,28,39,1
13,21,25,20,41,4
4,20,13,10,32,1
20,19,40,39,27,8
43,10,20,9,17,7
48,49,3,1,20,7
28,47,41,22,21,5
26,15,10,4,30,5
35,11,49,7,48,7
30,39,3,14,8,10
49,2,35,1,36,4
35,31,26,34,28,5
48,9,18,43,3,2
32,16,8,23,34,4
17,11,27,48,23,1
14,46,5,30,36,6
44,47,20,30,29,1
40,3,22,4,28,2
3,45,47,13,27,4
44,21,29,9,25,7
36,14,9,1,20,2
27,41,38,26,2,7
13,40,24,17,45,3
40,49,34,27,4,2
21,29,7,37,19,2
49,9,28,24,35,4
17,16,14,1,11,10
14,31,46,25,4,5
41,12,33,9,16,1
18,17,27,35,40,6
36,44,21,13,5,1
19,6,34,49,42,10
25,4,18,7,35,4
43,19,30,39,40,4
23,18,7,2,21,6
20,15,27,13,34,1
18,5,33,2,23,4
20,29,21,33,7,1
37,8,49,31,45,7
31,32,12,28,48,3
46,43,41,37,34,10
30,26,44,27,49,1
20,48,34,39,4,10
31,36,4,22,18,7
34,35,23,16,6,8
19,10,26,21,22,9
32,46,6,8,13,10
23,47,41,42,15,4
43,13,10,20,38,1
27,11,16,3,8,6
10,14,43,32,47,10
43,37,20,10,18,8
49,26,28,31,11,7
43,49,40,48,44,8
18,44,2,47,49,2
5,34,47,12,20,3
18,47,49,32,17,3
22,1,44,9,26,10
41,18,13,14,29,3
23,47,16,48,35,10
28,16,39,23,3,10
27,13,19,40,23,5
24,23,30,6,18,7
40,14,46,27,7,5
27,24,37,46,1,1
34,45,18,44,24,8
48,29,2,36,9,10
32,18,17,6,29,9
13,32,12,28,33,6
14,39,24,49,47,4
10,19,47,35,33,2
30,40,13,21,26,5
1,43,24,15,27,7
28,9,37,41,46,10
29,15,1,12,30,1
24,19,10,28,15,9
13,4,21,43,23,10
20,22,46,40,9,7
14,45,29,12,41,7
17,42,44,27,16,8
41,28,17,4,33,5
26,29,9,35,38,5
16,49,10,38,25,9
44,31,26,1,13,6
34,31,25,46,22,6
23,18,10,6,3,4
16,44,2,10,35,6
7,28,27,23,33,1
6,16,31,26,40,7
1,40,17,43,42,10
42,14,15,13,3,7
10,38,20,4,13,4
42,22,47,16,38,1
25,40,30,36,6,8
4,44,32,22,14,2
26,9,45,31,43,1
7,17,29,26,21,7
22,33,31,41,15,4
24,45,19,1,46,3
22,40,23,37,9,4
3,18,13,43,28,5
36,32,11,46,25,7
34,4,5,9,21,7
13,41,34,21,15,8
16,28,36,24,43,6
25,32,4,8,41,10
25,7,13,9,8,9
45,14,1,42,43,9
1,5,43,41,22,4
1,32,8,15,24,6
21,3,9,27,10,4
8,44,29,43,45,6
42,3,36,28,49,7
21,41,32,38,37,9
29,23,22,13,1,1
8,6,36,4,34,5
31,41,32,14,13,10
25,11,7,33,3,6
36,27,8,39,47,3
47,27,5,24,46,2
40,24,22,13,43,3
5,4,23,30,41,4
40,38,32,4,31,4
11,3,30,29,32,1
47,13,30,9,18,3
5,37,16,42,3,1
7,24,18,34,5,5
22,9,42,15,32,6
47,34,45,35,10,9
5,37,45,38,21,2
43,36,8,22,3,3
